scenario,scenario_label,rep,u_mean,u_sd,u_skew,u_excess_kurtosis,u_q01,u_q05,u_q50,u_q95,u_q99,contam_share
N2,N2 Extreme t3 tails,508,-0.04816673575823951,0.9332711486042956,-0.48550634196159337,5.311394927805379,-3.394135180020967,-1.4019179578067889,-0.007965464092933005,1.2679541593884458,2.2992072005331297,
N3,N3 One-sided contamination,508,0.08412790835593334,1.1335057252820824,3.4745883350465423,15.178997447516267,-1.394596584035451,-0.998384153016721,-0.056684118622599935,1.145467751759739,5.811392467366051,0.03
N0,N0 Normal,509,0.023769405946021352,0.979263931803505,0.0340310638177847,0.1595793681437856,-2.3317801979237753,-1.5440232112864336,0.052855097597201944,1.6124101582409454,2.472375925803625,
N1,N1 Severe skewness,509,-0.08649951116264261,0.8681254853550793,2.4365752377165544,7.251317462671711,-0.7070920430893652,-0.7046406678800283,-0.42253441835243977,1.670952689116211,3.4003830113664075,
N2,N2 Extreme t3 tails,509,-0.07888341323525463,0.9352192276342028,-1.3947834460401278,9.675862566124756,-2.875173075347564,-1.6749912666986797,-0.019305876507256466,1.2195322837677172,2.030156445487169,
N3,N3 One-sided contamination,509,0.00048405298814647145,0.920980385657569,3.715721026401214,23.22845057770556,-1.4807669817761937,-1.0975680592549417,-0.060620078690824225,0.9187103021203388,5.406032117850714,0.014
N0,N0 Normal,510,0.015104376366810179,1.0380614911217976,0.03050808090494013,-0.24292756906773505,-2.0817720600414504,-1.6394002265967849,-0.004124259478375829,1.7508248118938192,2.359270994328922,
N1,N1 Severe skewness,510,-0.0093561778555649,0.8914590850116102,2.229438505412378,5.717555483878012,-0.7070287677857204,-0.701712568748775,-0.358495863008512,1.859844562264535,3.3511879921977905,
N2,N2 Extreme t3 tails,510,-0.08617102903265805,0.9201586151910968,-0.6424306321449369,5.04819980863282,-3.0653762582419897,-1.5336633595346523,-0.0628069814725323,1.3113010058709742,2.190323836440754,
N3,N3 One-sided contamination,510,0.03623435544597072,1.0691370091844232,3.7328044785837102,18.422967723201626,-1.4296628203407984,-1.0265529634596955,-0.07137385443686972,0.9925848724678153,5.944171500563213,0.024
N0,N0 Normal,511,-0.015774764623128632,0.9789559704206487,-0.07679553879277462,-0.12966529982709973,-2.207979341643982,-1.587431666412218,-0.024037903111685067,1.5288857312613862,2.135154180982357,
N1,N1 Severe skewness,511,-0.03689455670217339,0.8932539165765324,2.203526839394478,5.6274041113913285,-0.7069419347358104,-0.7048481797207207,-0.39134977341423255,1.8595958614978416,3.2479485008170594,
N2,N2 Extreme t3 tails,511,0.05721877241165274,1.1230819543521944,-0.6740456167557631,18.939154539973217,-3.240355549753666,-1.3982067237776006,0.07423045239042589,1.4672346282289734,2.6339711369925043,
N3,N3 One-sided contamination,511,-0.021822972859165204,0.9893727437704672,3.5988045633718304,19.764525143798746,-1.5630845824487722,-1.119896477484922,-0.12863526941087475,0.9287107872710326,5.700076669657822,0.018
N0,N0 Normal,512,-0.02829234808904903,1.0017219771189512,-0.0499630225402413,0.34232938376169564,-2.3414910494077574,-1.7612826456788342,-0.020435008373525756,1.5972011883535202,2.507484641298584,
N1,N1 Severe skewness,512,0.004691262596456934,0.9801894592945211,2.422360858970406,7.46655863620013,-0.7067512468138429,-0.7033895476170333,-0.40537141303422924,2.243604724929632,3.444110800176008,
N2,N2 Extreme t3 tails,512,-0.02367640293737601,1.1447746639399377,-2.3090387377783927,31.325219898343335,-3.1916724158981764,-1.5182288911025863,0.03318691055684022,1.3750608028932993,2.3025163367506423,
N3,N3 One-sided contamination,512,-0.01482817057339144,0.9215482236342376,3.5357369402307706,19.12838554943949,-1.4137531389297329,-1.048455412925631,-0.12056877346405474,0.993194831934557,5.074817668323314,0.018
N0,N0 Normal,513,-0.060676550081830434,0.994842956338726,0.09312094058794329,-0.18769987452650927,-2.31606485867442,-1.5864462659054133,-0.06165073316449794,1.609250948242541,2.2285069999318665,
N1,N1 Severe skewness,513,0.015532704883691403,0.9314726949224736,2.589042206594285,10.138089646713066,-0.7069101504495631,-0.7030378346010334,-0.3064537393223859,1.7628705011077654,3.613127106745346,
N2,N2 Extreme t3 tails,513,0.015468536924767667,0.901566647623832,0.6916804678670717,11.31089110840632,-2.4583351596727594,-1.1948159628220263,0.043191516038297156,1.2681340785957895,2.4107771486311655,
N3,N3 One-sided contamination,513,-0.006523248928167028,1.0748583428006118,3.548407198310851,16.268790635917945,-1.4409341760193073,-1.0690870144918876,-0.16190779494678798,0.9435169292833022,5.5618213486652,0.028
N0,N0 Normal,514,0.0019952372250543675,1.001647299815252,-0.054902442486226735,0.15572952152892494,-2.3943147382264662,-1.649517897366367,-0.0005376640108123777,1.6489038705061247,2.1809184016541017,
N1,N1 Severe skewness,514,-0.04839668501183475,0.8749588182388371,2.1270878721052515,4.710872105979343,-0.7070525996936671,-0.7043828109621896,-0.39635154142906615,1.8694126852278463,3.3095677763170133,
N2,N2 Extreme t3 tails,514,-0.018845100351203715,0.8801156407412659,0.25097931240427535,2.913491675900267,-2.103672048715576,-1.3881722927301503,-0.03784802735254665,1.3640396099345948,2.5031964500174304,
N3,N3 One-sided contamination,514,-0.026243510261099615,1.0093748026928733,3.764117543131146,20.128892742576742,-1.4360104323540601,-1.1226499157540097,-0.15872896578614173,0.9112285650697366,5.892353918087505,0.02
N0,N0 Normal,515,0.028483071611752696,0.9839268245025566,0.009299908564457674,-0.050100588900567455,-2.1729908537729785,-1.6605522450817507,0.01997158282241352,1.6703890033251274,2.0870587221151577,
N1,N1 Severe skewness,515,0.09304817512330171,1.1826236255103353,3.011947330831731,13.231764216600283,-0.7064558630322527,-0.7015824758223935,-0.37741209098504735,2.3189805929954517,4.695301660039026,
N2,N2 Extreme t3 tails,515,-0.07446685281070026,0.8919834561708988,-0.9532166023250721,7.654964004740597,-2.835594382202345,-1.2588146554128932,-0.07145506994216802,1.1637131429119798,2.422701664034794,
N3,N3 One-sided contamination,515,-0.007118703423403538,1.1257840222158253,3.5711679927603375,15.862261414250021,-1.5436214663072516,-1.076230919524523,-0.17713650267295405,0.9087694022231244,5.76981618651502,0.03
N0,N0 Normal,516,-0.0010564668958184668,0.9800329665173504,-0.0015508604182207346,-0.1306485587369779,-2.2357778968916286,-1.653479917884618,-0.053342917336302566,1.6816941964464958,2.088343564140647,
N1,N1 Severe skewness,516,-0.026295348379644833,0.8815138362837571,2.251549563314763,6.522553650309689,-0.7069511137768392,-0.7050408928784,-0.3479610125315092,1.7164289410588673,3.499046801553465,
N2,N2 Extreme t3 tails,516,-0.044400518649806875,0.9990018521889132,-1.3904535645026435,22.15047804263279,-2.50787421714081,-1.3633750798198352,-0.056827574934630525,1.3434008082759339,2.7227762007636933,
N3,N3 One-sided contamination,516,0.0008748994675387465,0.9081993482819761,3.38011734374593,19.48246197025403,-1.5141278076415001,-1.023402216727241,-0.0487676135110125,0.8786578886734404,5.29906537387186,0.016
N0,N0 Normal,517,-0.04552010810754445,0.9886720892319976,0.036423225573837203,-0.09330043083028983,-2.195107058305477,-1.6585655032600426,-0.052266935870478134,1.5084608558717028,2.037733442422931,
N1,N1 Severe skewness,517,-0.013487095066202166,0.9971536683875896,2.359077094316356,5.987331964569112,-0.7070273361856364,-0.7039460384385418,-0.41373044542550963,2.1647505877365507,3.8202955061050248,
N2,N2 Extreme t3 tails,517,-0.006790215272165941,0.9741159907643341,-0.36531967054648906,8.208005553174695,-2.6391356833956787,-1.477394322338854,-0.015375899395294863,1.5273951076782926,2.1820338816650784,
N3,N3 One-sided contamination,517,0.020759304117226093,1.0485727384279322,3.5318014569104332,17.289924485083482,-1.4882224072378096,-1.0440947209785334,-0.07850591390613247,1.0006074615519587,5.593535140501865,0.024
N0,N0 Normal,518,0.060988012264073105,1.0364626236515835,-0.17336911021722023,0.11426137500605016,-2.5959688374812937,-1.7352738065183908,0.0889899443508883,1.7168566487645212,2.274356656741188,
N1,N1 Severe skewness,518,-0.04967952864409351,0.8676004748862138,2.209132615361298,5.808518437130642,-0.7069809774507664,-0.7042971516261245,-0.3981803494598828,1.782973932119758,2.953704617679681,
N2,N2 Extreme t3 tails,518,0.1142193933180107,0.864981267880048,0.5163442418768441,7.259808607214067,-2.33385959192603,-1.110432670247037,0.0912288496892843,1.398069953217235,2.3711651675630288,
N3,N3 One-sided contamination,518,0.004352690330554189,1.0349958111145878,4.000587592306349,22.196907891463134,-1.4419988334740206,-1.0780573848814128,-0.07142747239527325,0.8669258679012195,6.149393073473334,0.02
N0,N0 Normal,519,0.06740628327468474,1.012063646449212,0.09966088298767974,0.42788858437828914,-2.347525953012012,-1.457677431339901,0.03897842860112294,1.7450583448470522,2.6666203313737653,
N1,N1 Severe skewness,519,-0.029883212265878634,0.9071075586211031,2.3519912461277097,6.84613874871374,-0.7070288740387147,-0.7042194974519239,-0.3779823820725674,1.6880302861165335,3.5217062049519376,
N2,N2 Extreme t3 tails,519,-0.07433743081680848,0.8456136849014226,-0.27010055850592335,7.182258178524092,-2.5045184563329728,-1.4156572700932115,-0.06583064991244805,1.073936110421055,1.903450292674404,
N3,N3 One-sided contamination,519,0.05266196910479999,0.9238548381868674,3.444280908306711,19.100480956477245,-1.425870752850718,-0.9547922964720506,-0.07407059563160856,1.0412025581527358,5.584109496512508,0.016
N0,N0 Normal,520,-0.04448083797550031,1.053452238544068,0.005240322555101173,-0.21826042558890535,-2.2996176887487896,-1.788042572630502,-0.014048378388917006,1.6413718415301848,2.2666391268082906,
N1,N1 Severe skewness,520,-0.050236953033751204,0.9192461953530683,2.505063109211522,8.02020552877537,-0.707037226439731,-0.7053657495201491,-0.424772609512772,1.8647964756874003,3.427945992711889,
N2,N2 Extreme t3 tails,520,-0.040575998391228836,0.9066713063654147,1.0093589837561656,10.119331433928187,-2.1577955592727,-1.3615157769077244,-0.030290835579527338,1.2612217556135363,2.7081754507179006,
N3,N3 One-sided contamination,520,-0.04195423491573901,0.9792753224309596,3.771765766697965,22.234191079146015,-1.516003807919496,-1.167590316011764,-0.125374653330601,0.9884840967362277,5.721400180591428,0.016
